state_cluster,state_label,state_category,P1,P4,P6,mean_delta_pp
0,KC0 Basal KC,Basal KC,4.482109227871941,0.6254058785329022,-19.047619047619044,-4.646701313738067
1,KC1 Unclassified KC,Unclassified KC,14.146341463414636,-5.657998423955874,-2.636986301369859,1.9504522460296343
10,KC10 Mesenchymal-like KC,Mesenchymal-like KC,1.7142857142857153,0.0,10.0,3.904761904761905
2,KC2 Stress-response KC,Stress-response KC,-23.631713554987215,8.620689655172406,-14.746881878209834,-9.919301926008215
3,KC3 Differentiated KC,Differentiated KC,5.469525511217,-8.280790248003363,9.523809523809526,2.237514929007721
4,KC4 Junctional KC,Junctional KC,7.0,-10.838363514419854,-4.467927326659247,-2.7687636136930336
5,KC5 Myeloid-like contaminant,Myeloid-like contaminant,8.399209486166008,-6.221922731356695,10.695389266817838,4.29089200720905
6,KC6 Cycling KC,Cycling KC,5.45454545454546,2.3333333333333286,-26.08695652173913,-6.099692577953447
7,KC7 Immune-like contaminant,Immune-like contaminant,18.095238095238095,-3.7037037037037024,14.285714285714285,9.559082892416226
8,KC8 KRT7/KRT18-like KC,KRT7/KRT18-like KC,-20.150375939849624,-18.181818181818183,0.0,-12.777398040555937
9,KC9 Myeloid-like contaminant,Myeloid-like contaminant,-15.555555555555557,-1.142857142857146,-26.37362637362637,-14.357346357346358
