state_cluster,state_label,state_category,P1,P4,P6,mean_delta
0,KC0 Basal KC,Basal KC,0.7139692556635164,0.23593354246154497,-1.3259470010055927,-0.12534806762684378
1,KC1 Unclassified KC,Unclassified KC,0.792187001128535,-0.2016152003590288,-0.36144655799983916,0.07637508092322236
10,KC10 Mesenchymal-like KC,Mesenchymal-like KC,0.3954039626738637,0.0,1.0143322623578201,0.46991207501056126
2,KC2 Stress-response KC,Stress-response KC,-0.6796427121680342,0.5581696400861422,-0.8091845307104126,-0.3102192009307682
3,KC3 Differentiated KC,Differentiated KC,0.23692911181808718,-0.0630648991427063,0.4443946555542473,0.20608628940987606
4,KC4 Junctional KC,Junctional KC,0.3162068354588463,-0.7774796808838254,-0.503872912450279,-0.321715252625086
5,KC5 Myeloid-like contaminant,Myeloid-like contaminant,1.0586733752638269,-0.24244504667903244,0.5417570083453017,0.4526617789766987
6,KC6 Cycling KC,Cycling KC,0.6258573487180481,-0.3139830342559069,-1.514142140186801,-0.4007559419082199
7,KC7 Immune-like contaminant,Immune-like contaminant,1.406936490405259,0.06043130887448567,0.7380649437020004,0.7351442476605817
8,KC8 KRT7/KRT18-like KC,KRT7/KRT18-like KC,-0.8240080644321476,-0.5852690684786053,0.0,-0.46975904430358434
9,KC9 Myeloid-like contaminant,Myeloid-like contaminant,-0.4922760719674273,0.33387343451472784,-0.32141293539194526,-0.15993852428154823
