patient_id,patient_label,condition,state_cluster,state_label,state_category,n_cells,positive_cells,pct_positive,mean_expr,mean_expr_positive,pct_of_patient_condition_keratinocytes
1,P1,LE,0,KC0 Basal KC,Basal KC,59,21,35.59322033898305,1.9935198292117537,5.860187124736436,9.13312693498452
1,P1,LE,1,KC1 Unclassified KC,Unclassified KC,41,14,34.146341463414636,2.0366767408859627,6.240961229495424,6.3467492260061915
1,P1,LE,10,KC10 Mesenchymal-like KC,Mesenchymal-like KC,25,4,16.0,1.2229588565430343,8.395936627179527,3.8699690402476783
1,P1,LE,2,KC2 Stress-response KC,Stress-response KC,115,54,46.95652173913044,2.572602243808512,5.640591445856467,17.80185758513932
1,P1,LE,3,KC3 Differentiated KC,Differentiated KC,219,131,59.817351598173516,3.544478208135885,6.021779530203364,33.90092879256966
1,P1,LE,4,KC4 Junctional KC,Junctional KC,25,8,32.0,2.5353929607158263,8.227663577340635,3.8699690402476783
1,P1,LE,5,KC5 Myeloid-like contaminant,Myeloid-like contaminant,44,19,43.18181818181818,2.0278366683319864,4.884625210319077,6.811145510835913
1,P1,LE,6,KC6 Cycling KC,Cycling KC,30,18,60.0,2.771479748433952,4.714681329775389,4.643962848297214
1,P1,LE,7,KC7 Immune-like contaminant,Immune-like contaminant,35,23,65.71428571428571,3.4243588876374824,5.285757936967405,5.41795665634675
1,P1,LE,8,KC8 KRT7/KRT18-like KC,KRT7/KRT18-like KC,35,4,11.428571428571429,0.6993629495626373,7.230176141404145,5.41795665634675
1,P1,LE,9,KC9 Myeloid-like contaminant,Myeloid-like contaminant,18,8,44.44444444444444,1.6346733039358836,3.857168213328491,2.786377708978328
1,P1,Normal,0,KC0 Basal KC,Basal KC,90,28,31.11111111111111,1.2795505735482373,4.430198367185354,20.59496567505721
1,P1,Normal,1,KC1 Unclassified KC,Unclassified KC,20,4,20.0,1.2444897397574277,6.795739193099948,4.576659038901601
1,P1,Normal,10,KC10 Mesenchymal-like KC,Mesenchymal-like KC,14,2,14.285714285714285,0.8275548938691706,6.652819998553408,3.203661327231121
1,P1,Normal,2,KC2 Stress-response KC,Stress-response KC,153,108,70.58823529411765,3.252244955976546,4.667064780791024,35.01144164759725
1,P1,Normal,3,KC3 Differentiated KC,Differentiated KC,46,25,54.347826086956516,3.307549096317798,6.206281341030438,10.526315789473683
1,P1,Normal,4,KC4 Junctional KC,Junctional KC,8,2,25.0,2.21918612525698,9.306712371762528,1.8306636155606408
1,P1,Normal,5,KC5 Myeloid-like contaminant,Myeloid-like contaminant,23,8,34.78260869565217,0.9691632930681596,3.0550743867800882,5.263157894736842
1,P1,Normal,6,KC6 Cycling KC,Cycling KC,33,18,54.54545454545454,2.145622399715904,4.053076585794326,7.551487414187644
1,P1,Normal,7,KC7 Immune-like contaminant,Immune-like contaminant,21,10,47.61904761904761,2.0174223972322234,4.394241920123692,4.805491990846682
1,P1,Normal,8,KC8 KRT7/KRT18-like KC,KRT7/KRT18-like KC,19,6,31.57894736842105,1.523371013994785,5.134540562069591,4.3478260869565215
1,P1,Normal,9,KC9 Myeloid-like contaminant,Myeloid-like contaminant,10,6,60.0,2.126949375903311,3.6404640422243197,2.2883295194508007
4,P4,LE,0,KC0 Basal KC,Basal KC,214,55,25.70093457943925,1.4402981624379405,6.018401889284608,24.0990990990991
4,P4,LE,1,KC1 Unclassified KC,Unclassified KC,270,118,43.7037037037037,2.06333390369965,4.905806718498241,30.405405405405407
4,P4,LE,10,KC10 Mesenchymal-like KC,Mesenchymal-like KC,16,0,0.0,-0.14332262357820244,,1.8018018018018018
4,P4,LE,2,KC2 Stress-response KC,Stress-response KC,29,17,58.620689655172406,2.732033341287685,4.761696375310665,3.2657657657657655
4,P4,LE,3,KC3 Differentiated KC,Differentiated KC,39,20,51.28205128205128,2.5884937056421897,5.183719218401562,4.391891891891892
4,P4,LE,4,KC4 Junctional KC,Junctional KC,142,36,25.352112676056336,1.8327660316200007,7.651249294148043,15.99099099099099
4,P4,LE,5,KC5 Myeloid-like contaminant,Myeloid-like contaminant,106,30,28.30188679245283,1.0493939957724336,4.070942764794045,11.936936936936938
4,P4,LE,6,KC6 Cycling KC,Cycling KC,24,14,58.333333333333336,2.4806639697148976,4.354940107781397,2.7027027027027026
4,P4,LE,7,KC7 Immune-like contaminant,Immune-like contaminant,18,4,22.22222222222222,0.9724311905552514,4.87756954002234,2.027027027027027
4,P4,LE,8,KC8 KRT7/KRT18-like KC,KRT7/KRT18-like KC,9,0,0.0,-0.14332262357820244,,1.0135135135135136
4,P4,LE,9,KC9 Myeloid-like contaminant,Myeloid-like contaminant,21,9,42.857142857142854,1.7994181328411452,4.389739141400275,2.364864864864865
4,P4,Normal,0,KC0 Basal KC,Basal KC,331,83,25.075528700906347,1.2043646199763955,5.231189154934713,30.56325023084026
4,P4,Normal,1,KC1 Unclassified KC,Unclassified KC,235,116,49.361702127659576,2.2649491040586787,4.735503721203411,21.69898430286242
4,P4,Normal,10,KC10 Mesenchymal-like KC,Mesenchymal-like KC,16,0,0.0,-0.14332262357820244,,1.477377654662973
4,P4,Normal,2,KC2 Stress-response KC,Stress-response KC,30,15,50.0,2.173863701201543,4.4910500259812896,2.7700831024930745
4,P4,Normal,3,KC3 Differentiated KC,Differentiated KC,183,109,59.56284153005464,2.651558604784896,4.549000906609385,16.897506925207757
4,P4,Normal,4,KC4 Junctional KC,Junctional KC,105,38,36.19047619047619,2.610245712503826,7.465221462964245,9.695290858725762
4,P4,Normal,5,KC5 Myeloid-like contaminant,Myeloid-like contaminant,84,29,34.523809523809526,1.291839042451466,4.0136973745767,7.756232686980609
4,P4,Normal,6,KC6 Cycling KC,Cycling KC,25,14,56.00000000000001,2.7946470039708045,5.103051711330738,2.308402585410896
4,P4,Normal,7,KC7 Immune-like contaminant,Immune-like contaminant,27,7,25.925925925925924,0.9119998816807657,3.9272070395635312,2.4930747922437675
4,P4,Normal,8,KC8 KRT7/KRT18-like KC,KRT7/KRT18-like KC,22,4,18.181818181818183,0.44194644490040286,3.0756572530541266,2.0313942751615883
4,P4,Normal,9,KC9 Myeloid-like contaminant,Myeloid-like contaminant,25,11,44.0,1.4655446983264173,3.5131940171141154,2.308402585410896
