state_label,state_category,abundance_mean_delta_pp,abundance_paired_t_p,f2rl1_positive_mean_delta_pp,f2rl1_positive_paired_t_p,mean_expr_delta,mean_expr_paired_t_p
KC0 Basal KC,Basal KC,-7.9259668999464425,0.046755151600158674,-4.646701313738067,0.5889067190337693,-0.12534806762684378,0.8575698094565396
KC1 Unclassified KC,Unclassified KC,2.2941115885115817,0.585400976784598,1.9504522460296343,0.7815162097240239,0.07637508092322236,0.8519941101432773
KC10 Mesenchymal-like KC,Mesenchymal-like KC,0.9684504036934897,0.18296618067622344,3.904761904761905,0.33339942172672166,0.46991207501056126,0.2523836280750435
KC2 Stress-response KC,Stress-response KC,-6.5077578518970505,0.35384711642649047,-9.919301926008215,0.41079045988567453,-0.3102192009307682,0.5503986398564722
KC3 Differentiated KC,Differentiated KC,4.105129542651402,0.7321833301394041,2.237514929007721,0.7182413129995413,0.20608628940987606,0.29670508708753895
KC4 Junctional KC,Junctional KC,1.9505624629735732,0.5220275553369621,-2.7687636136930336,0.6487747772190695,-0.321715252625086,0.43079283623690734
KC5 Myeloid-like contaminant,Myeloid-like contaminant,3.7989078032943744,0.0875418208397602,4.29089200720905,0.5030377756467647,0.4526617789766987,0.35401441960513147
KC6 Cycling KC,Cycling KC,-1.9694521289080642,0.2398164685125658,-6.099692577953447,0.6050926335680293,-0.4007559419082199,0.5839063574277765
KC7 Immune-like contaminant,Immune-like contaminant,0.9422946638594811,0.41475832859792927,9.559082892416226,0.29093782828053505,0.7351442476605817,0.19914018579716497
KC8 KRT7/KRT18-like KC,KRT7/KRT18-like KC,1.3646009115484663,0.4507126353051575,-12.777398040555937,0.18457799061396143,-0.46975904430358434,0.1949731031698069
KC9 Myeloid-like contaminant,Myeloid-like contaminant,0.9791195042191885,0.3035369122702495,-14.357346357346358,0.1884098038319392,-0.15993852428154823,0.5902662869201505
